,set_id,part_name,quantity
0,7992-1,1 1/2 M Connecting Bush,3
1,7992-1,1/2 Bush,4
2,7992-1,2M Cross Axle W. Groove,4
3,7992-1,Angle Plate 1X2 / 2X2,4
4,7992-1,Ball Coupling Friction/Fork,1
5,7992-1,Bearing Element 2X2 W.D. Snap,1
6,7992-1,Brick 1X1,2
7,7992-1,"Brick 1X16, Ø4,9",2
8,7992-1,Brick 1X1X5,4
9,7992-1,Brick 1X2,2
10,7992-1,Brick 1X4,2
11,7992-1,Brick 1X8,2
12,7992-1,Brick 2X4,1
13,7992-1,Brick 2X6,2
14,7992-1,Brick Ø16 W. Cross,2
15,7992-1,Bush For Cross Axle,4
16,7992-1,Connector Peg W. Friction,6
17,7992-1,Connector Peg/Cross Axle,2
18,7992-1,Consol W/St Wheel Wh/Bla,1
19,7992-1,Cross Axle 10M,3
20,7992-1,Cross Axle 7M,1
21,7992-1,Cross Block 90°,3
22,7992-1,Cup Without Wreath,2
23,7992-1,Flat Tile 1X2 - Tr,2
24,7992-1,Flat Tile 1X4,1
25,7992-1,Flat Tile 1X6,4
26,7992-1,Flat Tile 2X2,1
27,7992-1,"Fric. Element, Cylinder",2
28,7992-1,Hook W. Ball 1X3,1
29,7992-1,Mini Contractors Helmet,1
30,7992-1,Mini Head No. 498,1
31,7992-1,Mini Lower Part,1
32,7992-1,Mini Upper Part 'No. 1182',1
33,7992-1,Plate 1X1 W. Holder,2
34,7992-1,Plate 1X2,5
35,7992-1,Plate 1X2 (Rocking),2
36,7992-1,Plate 1X2 With Slide,1
37,7992-1,Plate 1X3,8
38,7992-1,Plate 1X4,4
39,7992-1,Plate 1X6,4
40,7992-1,Plate 1X8,5
41,7992-1,Plate 2X10,2
42,7992-1,Plate 2X2,3
43,7992-1,Plate 2X2 Round,6
44,7992-1,Plate 2X4,4
45,7992-1,Plate 2X6,1
46,7992-1,Plate 4X4X2/3,1
47,7992-1,Plate 4X6,3
48,7992-1,Plate 6X10,2
49,7992-1,Radiator Grille 1X2,14
50,7992-1,Rim Wide 18/14 W. Cross Ø4.8,6
51,7992-1,Rocker Bearing 1X2,2
52,7992-1,Roof Tile 1 X 1 X 2/3,8
53,7992-1,Roof Tile 1X2 Inv,2
54,7992-1,Roof Tile 1X2/45°,2
55,7992-1,Roof Tile 2X2/45° Inv.,3
56,7992-1,Roof Tile 3X4/25°,1
57,7992-1,Round Brick 1X1,6
58,7992-1,Round Plate 1X1,4
59,7992-1,Round Plate 1X1 - Tr.,2
60,7992-1,Round Plate 2X2 W/Eye,2
61,7992-1,Screwdriver/Spanner,1
62,7992-1,Seat 2X2X2,1
63,7992-1,Stub W. Friction Bush 3 M,1
64,7992-1,Technic 11M Beam,1
65,7992-1,Technic 7M Beam,2
66,7992-1,Technic Bearing Plate 2X2,2
67,7992-1,"Technic Brick 1X2, Ø4.9",4
68,7992-1,Technic Lever 3M,2
69,7992-1,Telescopic Arm 2X1 1/3X16,1
70,7992-1,"Tyre Normal Wide Ø30,4 X 14",6
71,7992-1,Walkie-Talkie,1
72,7992-1,"Wall Element 1X6X5, Abs",6
73,7992-1,Windscreen 2X4X2,1
74,7992-1,Windscreen 2X5X1 1/3,6
75,1088-1,Chassis 4X7,1
76,1088-1,Clamp 1X2,1
77,1088-1,Console W/St Wheel Ye/Bl,1
78,1088-1,Flat Tile 1X4,1
79,1088-1,Hub Ø8.1 X 9,4
80,1088-1,Mini Handle,1
81,1088-1,Nose Cone Small 1X1,2
