,set_id,n_parts,plate_1x1,plate_1x2,plate_1x3,plate_1x4,plate_1x6,plate_1x8,plate_1x10,plate_2x2,plate_2x3,plate_2x4,plate_2x6,plate_2x8,plate_2x12,plate_4x4,plate_4x6,plate_4x8,plate_6x6,plate_6x8,plate_6x10,plate_8x8,brick_1x1,brick_1x2,brick_1x3,brick_1x4,brick_1x6,brick_1x8,brick_2x2,brick_2x3,brick_2x4,brick_2x6
0,7992-1,213,0,5,8,4,4,5,0,3,0,4,1,0,0,0,3,0,0,0,2,0,2,2,0,2,0,2,0,0,1,2
1,1088-1,24,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,60024-1,241,0,12,2,5,1,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
3,6454-1,103,0,6,0,0,2,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2
4,7623-1,553,15,26,0,5,0,4,5,3,7,6,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,2,2,2,4,0
5,60020-1,319,0,5,0,13,8,0,0,4,6,5,6,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
6,6473-1,190,4,8,2,6,3,6,1,2,6,5,0,3,3,0,0,0,0,0,0,0,6,4,0,3,2,0,0,0,0,0
7,7938-1,679,0,20,10,1,6,1,1,3,2,9,8,0,0,0,4,0,0,2,0,0,56,50,0,6,28,4,0,2,5,2
8,60010-1,224,0,2,0,1,0,0,0,2,4,11,1,1,2,0,1,0,2,0,0,1,0,3,0,1,5,1,1,2,2,0
9,4428-1,248,2,13,0,9,0,0,0,6,3,3,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
10,5613-1,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
11,2963-1,53,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0
12,6560-1,330,0,10,4,6,2,3,2,2,5,1,5,0,0,1,1,1,0,0,1,0,2,9,7,4,2,5,0,8,0,0
13,9247-1,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4200-1,101,0,0,0,7,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
15,4208-1,249,9,7,0,11,11,0,0,2,4,8,2,0,0,1,1,0,2,0,0,0,0,4,0,0,1,0,0,0,1,0
16,7043-1,66,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
17,7624-1,89,0,4,0,0,0,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
18,6456-1,368,0,14,6,6,4,3,0,10,2,5,4,1,2,0,0,0,0,0,0,0,4,6,0,11,3,0,13,4,2,2
19,7044-1,199,0,3,5,1,8,2,0,2,4,2,5,3,0,0,0,1,0,0,0,0,0,2,0,2,2,0,1,4,1,0
20,7724-1,181,0,2,2,6,0,0,0,0,6,3,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
21,7033-1,155,2,5,0,1,2,4,0,3,0,3,3,7,0,0,0,0,0,2,0,0,2,3,0,0,2,0,2,0,0,1
22,3182-1,702,0,30,12,16,2,2,4,6,4,16,7,1,0,0,1,1,0,8,0,1,6,18,20,2,11,3,2,5,3,0
23,6556-1,52,0,3,0,3,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,8401-1,55,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,7197-1,420,4,17,2,11,0,2,0,6,3,4,7,0,0,1,1,3,2,0,0,0,8,10,1,6,5,0,4,1,0,0
26,60022-1,652,0,10,16,23,1,18,0,2,18,12,12,1,0,1,6,1,1,0,1,0,2,17,0,11,11,4,10,3,2,1
27,6568-1,216,1,11,3,10,8,4,1,6,0,5,3,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0
28,7997-1,386,0,9,6,2,0,14,1,0,0,5,4,0,0,2,1,4,0,0,0,0,0,5,4,2,20,1,4,0,0,6
29,7990-1,212,2,7,0,6,3,0,0,2,1,0,3,1,0,4,0,0,1,0,0,0,2,4,0,0,1,0,0,0,1,0
30,7902-1,65,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
31,7733-1,336,4,12,0,12,6,0,0,2,4,5,5,4,0,0,3,1,1,0,0,0,5,9,0,6,0,0,1,0,3,2
32,60052-1,886,4,23,6,33,17,2,12,14,5,7,7,3,0,2,2,4,0,2,1,0,2,4,4,7,9,2,1,1,9,0
33,7196-1,187,2,8,0,6,1,0,0,0,0,0,0,0,5,0,3,1,0,0,1,0,1,0,0,0,0,0,3,1,2,0
34,4436-1,94,0,5,0,2,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,7030-1,44,4,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
36,1191-1,18,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,7031-1,77,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
38,1098-1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,7042-1,33,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4430-1,520,0,28,2,12,17,0,2,8,0,0,6,2,0,2,2,1,1,0,2,0,11,14,0,1,11,0,0,0,1,3
41,7901-1,26,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7280-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,6483-1,172,5,6,6,8,10,1,0,2,1,1,1,0,0,1,0,1,0,0,0,0,5,3,8,7,1,11,1,1,0,0
44,6558-1,124,0,2,0,2,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,2,3,4,1,0,0,0,0,4,0
45,6598-1,428,18,15,6,7,7,4,3,3,1,8,1,1,0,2,1,2,0,0,5,0,26,25,10,10,7,4,5,2,3,0
46,60107-1,212,0,1,0,3,0,0,0,3,7,7,4,6,0,0,2,0,1,0,0,0,4,6,0,1,0,0,0,0,0,2
47,7324-1,199,0,4,0,3,0,0,0,4,0,2,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0
48,4440-1,630,4,12,2,12,8,2,3,7,6,5,10,4,4,0,2,1,0,0,0,0,18,12,12,8,9,5,15,0,9,2
49,7891-1,145,0,5,0,1,6,0,2,2,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
50,5611-1,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0
51,6617-1,300,0,1,0,4,5,0,2,0,1,3,2,2,0,0,0,0,2,0,0,0,0,11,6,2,1,0,6,1,19,0
52,4207-1,920,8,21,6,22,16,3,6,9,5,15,2,0,6,1,0,0,0,0,0,0,14,6,4,14,30,2,5,4,9,0
53,6546-1,28,0,2,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,60110-1,917,4,17,2,9,8,5,2,5,2,5,4,3,2,1,1,1,0,7,0,0,7,29,0,28,7,0,12,3,7,0
55,10128-1,317,6,2,0,5,2,4,2,12,3,6,6,0,0,2,0,2,0,2,0,0,2,6,0,6,2,1,3,0,14,0
56,7736-1,33,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,6559-1,237,5,5,0,3,5,2,0,4,3,1,5,0,0,0,0,0,0,0,0,0,6,2,0,1,1,0,3,0,0,3
58,7907-1,231,4,9,0,0,2,0,0,5,0,18,1,0,0,3,0,0,0,0,0,0,3,16,2,2,0,0,2,1,1,0
59,7732-1,84,0,4,0,7,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
60,6417-1,22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
61,7635-1,175,0,0,0,4,4,0,4,0,0,0,3,4,0,1,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0
62,4937-1,38,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
63,60080-1,585,0,6,6,12,0,2,2,3,3,4,9,2,0,4,4,0,0,0,0,0,0,3,0,4,0,0,0,0,6,0
